lat_depart,lon_depart,lat_arrivee,lon_arrivee,temps_minutes,date_calcul
48.5734,7.7521,48.5794,7.7441,10,2025-01-01T12:00:00
48.5794,7.7441,48.5734,7.7521,10,2025-01-01T12:00:00
48.5734,7.7521,48.5856,7.7507,15,2025-01-01T12:00:00
48.5856,7.7507,48.5734,7.7521,15,2025-01-01T12:00:00
48.575,7.745,48.5794,7.7441,4,2025-06-24T19:12:31.362169
48.5856,7.7507,48.5734,7.7521,7,2025-06-24T19:12:32.365856
48.5856,7.7507,48.5794,7.7441,6,2025-06-24T19:12:33.364332
48.5856,7.7507,48.575,7.745,7,2025-06-24T19:12:34.363706
48.5794,7.7441,48.58,7.75,2,2025-06-24T19:12:35.362961
48.5734,7.7521,48.5794,7.7441,4,2025-06-24T19:12:36.362909
48.5734,7.7521,48.575,7.745,4,2025-06-24T19:12:37.364111
48.58,7.75,48.5794,7.7441,3,2025-06-24T19:12:38.362616
48.575,7.745,48.58,7.75,4,2025-06-24T19:12:39.363888
48.5794,7.7441,48.5856,7.7507,7,2025-06-24T19:12:40.361453
48.5856,7.7507,48.58,7.75,5,2025-06-24T19:12:41.362138
48.58,7.75,48.5856,7.7507,9,2025-06-24T19:12:42.363314
48.575,7.745,48.5856,7.7507,8,2025-06-24T19:12:43.362960
48.5734,7.7521,48.58,7.75,4,2025-06-24T19:12:44.363886
48.5794,7.7441,48.5734,7.7521,4,2025-06-24T19:12:45.362924
48.5794,7.7441,48.575,7.745,3,2025-06-24T19:12:46.363112
48.58,7.75,48.5734,7.7521,6,2025-06-24T19:12:47.363502
48.575,7.745,48.5734,7.7521,4,2025-06-24T19:12:48.362533
48.5734,7.7521,48.5856,7.7507,8,2025-06-24T19:12:49.363455
48.58,7.75,48.575,7.745,6,2025-06-24T19:12:50.363821
48.575,7.745,48.5794,7.7441,4,2025-06-24T19:13:43.294954
48.5856,7.7507,48.5734,7.7521,7,2025-06-24T19:13:44.292291
48.5856,7.7507,48.5794,7.7441,6,2025-06-24T19:13:45.233249
48.5856,7.7507,48.575,7.745,7,2025-06-24T19:13:46.231997
48.5794,7.7441,48.58,7.75,2,2025-06-24T19:13:47.234061
48.5734,7.7521,48.5794,7.7441,4,2025-06-24T19:13:48.232276
48.5734,7.7521,48.575,7.745,4,2025-06-24T19:13:49.231220
48.58,7.75,48.5794,7.7441,3,2025-06-24T19:13:50.232941
48.575,7.745,48.58,7.75,4,2025-06-24T19:13:51.232122
48.5794,7.7441,48.5856,7.7507,7,2025-06-24T19:13:52.231040
48.5856,7.7507,48.58,7.75,5,2025-06-24T19:13:53.232547
48.58,7.75,48.5856,7.7507,9,2025-06-24T19:13:54.233536
48.575,7.745,48.5856,7.7507,8,2025-06-24T19:13:55.231160
48.5734,7.7521,48.58,7.75,4,2025-06-24T19:13:56.232698
48.5794,7.7441,48.5734,7.7521,4,2025-06-24T19:13:57.232920
48.5794,7.7441,48.575,7.745,3,2025-06-24T19:13:58.231444
48.58,7.75,48.5734,7.7521,6,2025-06-24T19:13:59.232012
48.575,7.745,48.5734,7.7521,4,2025-06-24T19:14:00.237910
48.5734,7.7521,48.5856,7.7507,8,2025-06-24T19:14:01.238605
48.58,7.75,48.575,7.745,6,2025-06-24T19:14:02.233031
48.575,7.745,48.5794,7.7441,4,2025-06-24T19:15:09.700966
48.5856,7.7507,48.5734,7.7521,7,2025-06-24T19:15:10.699375
48.5856,7.7507,48.5794,7.7441,6,2025-06-24T19:15:11.701351
48.5856,7.7507,48.575,7.745,7,2025-06-24T19:15:12.700897
48.5794,7.7441,48.58,7.75,2,2025-06-24T19:15:13.700947
48.5734,7.7521,48.5794,7.7441,4,2025-06-24T19:15:14.701929
48.5734,7.7521,48.575,7.745,4,2025-06-24T19:15:15.700712
48.58,7.75,48.5794,7.7441,3,2025-06-24T19:15:16.700605
48.575,7.745,48.58,7.75,4,2025-06-24T19:15:17.701466
48.5794,7.7441,48.5856,7.7507,7,2025-06-24T19:15:18.700105
48.5856,7.7507,48.58,7.75,5,2025-06-24T19:15:19.700475
48.58,7.75,48.5856,7.7507,9,2025-06-24T19:15:20.702427
48.575,7.745,48.5856,7.7507,8,2025-06-24T19:15:21.700813
48.5734,7.7521,48.58,7.75,4,2025-06-24T19:15:22.701811
48.5794,7.7441,48.5734,7.7521,4,2025-06-24T19:15:23.699694
48.5794,7.7441,48.575,7.745,3,2025-06-24T19:15:24.700947
48.58,7.75,48.5734,7.7521,6,2025-06-24T19:15:25.700394
48.575,7.745,48.5734,7.7521,4,2025-06-24T19:15:26.700490
48.5734,7.7521,48.5856,7.7507,8,2025-06-24T19:15:27.700949
48.58,7.75,48.575,7.745,6,2025-06-24T19:15:28.700130
